spectacle_id;Titre;Auteur;Description;Date;Heure Début;Heure Fin;lat;lng;image
524;Les fabulations de l'écho;Compagnie Musicabrass;Les neuf musiciens de Musicabrass investissent Méric : la prairie, le verger, la forêt, les rives du Lez...;23-avr; 11h00;12h30;43.631571;3.890551;http://zat.montpellier.fr/thumb/9-les-fabulations-de-l-echo.jpg/w/465
524;Les fabulations de l'écho;Compagnie Musicabrass;Les neuf musiciens de Musicabrass investissent Méric : la prairie, le verger, la forêt, les rives du Lez…;23-avr;15h30;17h00;43.630771;3.890551;http://zat.montpellier.fr/thumb/9-les-fabulations-de-l-echo.jpg/w/465
524;Les fabulations de l'écho;Compagnie Musicabrass;Les neuf musiciens de Musicabrass investissent Méric : la prairie, le verger, la forêt, les rives du Lez…;24-avr;14h00;15h30;43.630771;3.890551;http://zat.montpellier.fr/thumb/9-les-fabulations-de-l-echo.jpg/w/465
524;Les fabulations de l'écho;Compagnie Musicabrass;Les neuf musiciens de Musicabrass investissent Méric : la prairie, le verger, la forêt, les rives du Lez…;24-avr;17h00;18h30;43.630771;3.890551;http://zat.montpellier.fr/thumb/9-les-fabulations-de-l-echo.jpg/w/465
534;Les Lecteurs;David Rolland Chorégraphies;Samedi 23 avril, Montpellier joue en finale de la Coupe de la Ligue de foot. Le lendemain...;24-avr; 17h30;18h30;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-les-lecteurs.jpg/w/465
551;Les Messagers des oiseaux;Les Chanteurs d'oiseaux;"Méric est habité par de nombreux oiseaux. Johnny Rasse et Jean 
Boucault se feront leurs messagers au cours de trois moments uniques.";25-avr;25 avril - 15h00;16h00;43.631571;3.890551;http://zat.montpellier.fr/thumb/9-les-messagers-des-oiseaux.jpg/w/465
522;Les Miniatures;Compagnie Pernette;"Quatre moments de danse finement ciselés, 
présentés au plus près des spectateurs. ";23-avr;10h30;12h00;43.630927;3.892193;http://zat.montpellier.fr/thumb/9-les-miniatures-l-apparition-l-insomnie-la-rose-les-oignons.jpg/w/465
522;Les Miniatures;Compagnie Pernette;"Quatre moments de danse finement ciselés, 
présentés au plus près des spectateurs. ";23-avr;16h00;17h30;43.630927;3.892193;http://zat.montpellier.fr/thumb/9-les-miniatures-l-apparition-l-insomnie-la-rose-les-oignons.jpg/w/465
522;Les Miniatures;Compagnie Pernette;"Quatre moments de danse finement ciselés, 
présentés au plus près des spectateurs. ";24-avr;11h00;12h30;43.630927;3.892193;http://zat.montpellier.fr/thumb/9-les-miniatures-l-apparition-l-insomnie-la-rose-les-oignons.jpg/w/465
522;Les Miniatures;Compagnie Pernette;"Quatre moments de danse finement ciselés, 
présentés au plus près des spectateurs. ";24-avr;15h15;16h45;43.630927;3.892193;http://zat.montpellier.fr/thumb/9-les-miniatures-l-apparition-l-insomnie-la-rose-les-oignons.jpg/w/465
