"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"ALLAIS              ","Rue Alphonse Allais                                             ",1,99999,"I","Ecole maternelle aliénor d'AQUITAINE                        "
"ALLAIS              ","Rue Alphonse Allais                                             ",2,99998,"P","Ecole maternelle aliénor d'AQUITAINE                        "
"ALLEGRET            ","Rue Frères Allegret                                             ",1,99999,"I","Ecole Primaire Winston CHURCHILL                            "
"ALLEGRET            ","Rue Frères Allegret                                             ",2,99998,"P","Ecole Primaire Winston CHURCHILL                            "
"ALLENDE             ","Place Salvador Allende                                          ",1,99999,"I","Ecole Maternelle TERESA                                     "
"ALLENDE             ","Place Salvador Allende                                          ",2,99998,"P","Ecole Maternelle TERESA                                     "
"ALMERAS             ","Rue d'Alméras                                                   ",1,99999,"I","Ecole Maternelle Francis GARNIER                            "
"ALMERAS             ","Rue d'Alméras                                                   ",2,99998,"P","Ecole Maternelle Francis GARNIER                            "
"ALOUETTES           ","Rue des Alouettes                                               ",1,99999,"I","Ecole Maternelle Luis de CAMOENS                            "
"ALOUETTES           ","Rue des Alouettes                                               ",2,99998,"P","Ecole Maternelle Luis de CAMOENS                            "
"ALPHAND             ","Avenue Adolphe Alphand                                          ",1,99999,"I","Ecole Primaire François MITTERAND (Mater)                   "
"ALPHAND             ","Avenue Adolphe Alphand                                          ",2,99998,"P","Ecole Primaire François MITTERAND (Mater)                   "
"ALPILLES            ","Rue des Alpilles                                                ",1,99999,"I","Ecole Maternelle Luis de CAMOENS                            "
"ALPILLES            ","Rue des Alpilles                                                ",2,99998,"P","Ecole Maternelle Luis de CAMOENS                            "
"ALQUIE              ","Rue Alexis Alquié                                               ",1,99999,"I","Ecole Maternelle Louis FIGUIER                              "
"ALQUIE              ","Rue Alexis Alquié                                               ",2,99998,"P","Ecole Maternelle Louis FIGUIER                              "
"ALSACE              ","Rue d'Alsace                                                    ",1,99999,"I","Ecole Maternelle FLORIAN                                    "
"ALSACE              ","Rue d'Alsace                                                    ",2,99998,"P","Ecole Maternelle FLORIAN                                    "
"ALTAMIRA            ","Place Altamira                                                  ",1,99999,"I","Ecole Maternelle Hélène BOUCHER                             "
"ALTAMIRA            ","Place Altamira                                                  ",2,99998,"P","Ecole Maternelle Hélène BOUCHER                             "
"ALTIER              ","Rue Azalaïs d'Altier                                            ",1,99999,"I","Ecole Maternelle AVERROES                                   "
"ALTIER              ","Rue Azalaïs d'Altier                                            ",2,99998,"P","Ecole Maternelle AVERROES                                   "
"AMALBERT            ","Rue du Serf Amalbert                                            ",1,99999,"I","Ecole Maternelle TERESA                                     "
"AMALBERT            ","Rue du Serf Amalbert                                            ",2,99998,"P","Ecole Maternelle TERESA                                     "
"AMANDIER            ","Rue de l'Amandier                                               ",1,99999,"I","Ecole Maternelle PASTEUR                                    "
"AMANDIER            ","Rue de l'Amandier                                               ",2,99998,"P","Ecole Maternelle PASTEUR                                    "
"AMANDIERS           ","Jardin des Amandiers                                            ",1,99999,"I","Ecole Maternelle Jeanne DEROIN                              "
"AMANDIERS           ","Jardin des Amandiers                                            ",2,99998,"P","Ecole Maternelle Jeanne DEROIN                              "
"AMANDINES           ","Impasse des Amandines                                           ",1,99999,"I","Ecole Maternelle Luis de CAMOENS                            "
"AMANDINES           ","Impasse des Amandines                                           ",2,99998,"P","Ecole Maternelle Luis de CAMOENS                            "
