"IDENT","NOM","VLEGALE","REF","DDEBUT","DFIN","SENS","PHJM","PHJS","TJM","COMMENTAIR","MOIS","ANNEE","TYPECOMPTA","IDENTSIG"
"1929TR5699","Rue Saint Cléophas",30,"1532",39725,39731,"Maurin-Toulouse",461,574,4262,"#N/A",10,2008,"Pneumatique",5699
"1929TR5718","Rue Saint Cléophas",50,"335",36412,36418,"Maurin-Angouleme",296,434,2764,"#N/A",9,1999,"Pneumatique",5718
"1929TR5718","Rue Saint Cléophas",50,"336",36412,36418,"Angouleme-Maurin",239,349,2671,"#N/A",9,1999,"Pneumatique",5718
"2202TR1895","Rue Rouget de Lisle",50,"2081",40352,40358,"Loup-Fajon",150,251,1984,"#N/A",6,2010,"Pneumatique",1895
"2202TR1895","Rue Rouget de Lisle",50,"2082",40352,40358,"Fajon-Loup",221,206,1896,"#N/A",6,2010,"Pneumatique",1895
"2202TR1902","Rue Rouget de Lisle",50,"581",37693,37699,"Fajon-Loup",162,158,1044,"#N/A",3,2003,"Pneumatique",1902
"2202TR1902","Rue Rouget de Lisle",50,"580",37693,37699,"Loup-Fajon",114,140,999,"#N/A",3,2003,"Pneumatique",1902
"2202TR1908","Rue Rouget de Lisle",50,"208",35748,35754,"Fajon-Loup",68,61,571,"#N/A",11,1997,"Pneumatique",1908
"2202TR1908","Rue Rouget de Lisle",50,"209",35748,35754,"Loup-Fajon",60,84,726,"#N/A",11,1997,"Pneumatique",1908
"1907TR5296","Rue Roucher",50,"1531",39721,39727,"Flammes-Balances",7,6,39,"#N/A",9,2008,"Pneumatique",5296
"1907TR5296","Rue Roucher",50,"1530",39721,39727,"Balances-Flammes",36,24,217,"#N/A",9,2008,"Pneumatique",5296
"1905TR1749","Rue Rossini",50,"2021",40296,40302,"Fontcouverte-Schubert",17,29,166,"#N/A",4,2010,"Pneumatique",1749
"1905TR1749","Rue Rossini",50,"2022",40296,40302,"Schubert-Fontcouverte",26,21,191,"#N/A",4,2010,"Pneumatique",1749
"1899TR681","Rue Ronsard",30,"1817",39990,39996,"Fontcarrade-Figuerolles",23,30,261,"R.A.S",6,2009,"Pneumatique",681
"1899TR681","Rue Ronsard",30,"1818",39990,39996,"Figuerolles-Fontcarrade",52,59,534,"R.A.S",6,2009,"Pneumatique",681
"1897TR853","Rue Rondelet",50,"1138",39008,39014,"Denis-Rondelet",341,372,4858,"#N/A",10,2006,"Pneumatique",853
"1897TR5678","Rue Rondelet",50,"965",38749,38755,"Rondelet-Michel",473,581,5428,"#N/A",2,2006,"Pneumatique",5678
