"REG","uu","dc","nomc","iris","nom","note","A","AH","AF","AHLt25","AFLt25","AH2549","AF2549","AHGe50","AFGe50","BE","XEH","XEF","BTc","BTp","BCsC","BCs4","BCs5","BCs6","BCs6Q","BCs6NQ","BTypeA","BDom2","BDom3","BDom4","BDom5","BDom6","BDom7","BDom8","BDom9","CA17AZ","CA17DE","CA17C1","CA17C2","CA17C3","CA17C4","CA17C5","CA17FZ","CA17GZ","CA17HZ","CA17IZ","CA17JZ","CA17KZ","CA17LZ","CA17MN","CA17OQ","CA17RU"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","Salariés","Hommes","Femmes","Hommes de moins de 25 ans","Femmes de moins de 25 ans","Hommes de 25 à moins de 50 ans","Femmes de 25 à moins de 50 ans","Hommes de 50 ans et +","Femmes de 50 ans et +","Etrangers","Hommes étrangers","Femmes étrangères","Temps complet","Temps partiel","CSP des salariés : Chefs d’entreprises et cadres","CSP des salariés : Professions intermédiaires","CSP des salariés : Employés","CSP des salariés : Ouvriers","CSP des salariés : Ouvriers qualifiés","CSP des salariés : Ouvriers non qualifiés","CSP des salariés : Apprentis","Domaine d'emploi : Collectivités territoriales","Domaine d'emploi : Établissements publics locaux","Domaine d'emploi : Établissements sanitaires et médico-sociaux","Domaine d'emploi : Établissements publics nationaux","Domaine d'emploi : EPIC","Domaine d'emploi : Associations","Domaine d'emploi : Entreprises individuelles et particuliers employeurs","Domaine d'emploi : Sociétés","Activité A17 : AZ-Agriculture, sylviculture, et pêche","Activité A17 : DE-Industries extractives,  énergie, eau, gestion des déchets et dépollution","Activité A17 : C1-Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac","Activité A17 : C2-Cokéfaction et raffinage","Activité A17 : C3-Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines","Activité A17 : C4-Fabrication de matériels de transport","Activité A17 : C5-Fabrication d'autres produits industriels","Activité A17 : FZ-Construction","Activité A17 : GZ-Commerce ; réparation d'automobiles et de motocycles","Activité A17 : HZ-Transports et entreposage","Activité A17 : IZ-Hébergement et restauration","Activité A17 : JZ-Information et communication","Activité A17 : KZ-Activités financières et d'assurance","Activité A17 : LZ-Activités immobilières","Activité A17 : MN-Activités scientifiques et techniques ; services administratifs et de soutien","Activité A17 : OQ-Administration publique, enseignement, santé humaine et action sociale","Activité A17 : RU-Autres activités de services"
"91","34701","34172","Montpellier","0603","LA FONTAINE",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","0701","LES TONNELLES",0,831,451,380,92,62,288,239,71,79,181,127,54,554,274,72,187,304,226,130,96,9,49,15,47,24,19,143,62,472,1,3,9,0,10,0,16,69,106,27,66,18,20,12,184,245,45
"91","34701","34172","Montpellier","0702","PILORY",0,1190,619,571,131,135,406,340,82,96,282,181,101,771,414,77,216,444,393,192,201,23,75,27,60,30,26,190,83,699,5,11,9,0,7,1,23,99,143,39,83,20,13,24,314,337,62
"91","34701","34172","Montpellier","0703","ALCO",0,1770,947,823,218,227,607,456,122,140,435,302,133,1204,564,195,353,598,533,294,239,36,77,26,118,62,17,213,124,1133,10,7,28,0,19,4,27,162,206,39,117,58,36,20,499,432,106
"91","34701","34172","Montpellier","0704","SOULAS",0,1108,552,556,107,146,361,322,84,88,151,97,54,752,351,234,266,345,178,109,69,17,57,30,140,75,32,133,66,575,1,5,12,0,14,0,22,45,125,32,71,44,41,8,274,340,74
"91","34701","34172","Montpellier","0705","CASSEYROLS",0,1700,862,838,175,221,591,498,96,119,312,192,120,1159,536,159,346,606,444,234,210,21,78,19,211,57,22,193,109,1011,9,14,19,0,14,4,34,84,215,47,144,54,32,17,408,518,87
"91","34701","34172","Montpellier","0706","BEL AIR",0,359,171,188,30,35,118,115,23,38,49,32,17,263,95,57,92,120,72,38,34,4,40,7,29,14,10,41,16,202,0,3,0,0,7,0,5,17,55,8,25,17,5,6,79,121,11
"91","34701","34172","Montpellier","0707","LE PETIT BARD",0,1234,827,407,247,151,459,212,121,44,619,461,158,820,412,27,107,291,740,393,347,25,33,11,30,12,11,125,133,879,23,10,17,0,13,2,17,248,96,33,63,11,13,5,478,169,36
"91","34701","34172","Montpellier","0801","LA PISCINE",0,1337,617,720,119,140,393,451,105,129,205,122,83,908,425,173,346,513,243,146,97,20,81,21,109,53,27,190,88,768,1,6,20,0,14,0,25,61,182,40,101,42,41,15,294,405,90
"91","34701","34172","Montpellier","0802","AGRICULTURE",0,1157,552,605,111,168,371,328,70,109,186,115,71,825,330,140,273,383,295,119,176,16,49,18,90,74,25,161,74,666,3,7,8,0,11,2,23,63,130,28,77,29,26,21,353,300,76
