"CIRCULATIO,C,50","CODCOMM,C,6","DOMAINE,C,50","HIERARCHIE,C,50","ID_ARC,N,10,0","F_ID_NODE,N,10,0","LONGUEUR,N,19,8","NOTES,C,80","NUM_D_D,N,10,0","NUM_D_F,N,10,0","NUM_G_D,N,10,0","NUM_G_F,N,10,0","NUMERO,C,20","OCCUPATION,C,50","PERIMETRE,N,19,8","RIVOLI,C,4","SUF_D_D,C,3","SUF_D_F,C,3","SUF_G_D,C,3","SUF_G_F,C,3","SURFACE,N,19,8","SYMBOL,N,10,0","T_ID_NODE,N,10,0","TYPE,C,50","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","SHAPE_LEN,N,19,11","tarifs2011,C,50"
,,,,16574,14537,"323,8999939",,0,0,0,0,,,0,,,,,,0,0,496,,"N",,,"324,006711616",
"DOUBLE SENS","340172","Publique",,16592,14557,"135,5",,0,0,0,0,,,0,"2283",,,,,0,0,615,,"N",,,"135,506791639",
,,,,16594,14559,"82,69999695",,0,0,0,0,,,0,,,,,,0,0,14557,,"N",,,"82,7504021743",
,,,,16595,14557,"146,6000061",,0,0,0,0,,,0,,,,,,0,0,14558,,"N",,,"146,628785943",
,,,,16596,14558,"64,80000305",,0,0,0,0,,,0,,,,,,0,0,624,,"N",,,"64,872874581",
"DOUBLE SENS","340172","Publique",,16632,14597,"64,69999695",,0,0,0,0,,,0,"1446",,,,,0,0,4854,,"N",,,"64,7038596061",
"DOUBLE SENS","340172","Publique",,16652,14617,"72,19999695",,0,0,0,0,,,0,"2783",,,,,0,0,1721,,"N",,,"72,2371325486",
"DOUBLE SENS","340172","Publique",,16653,14618,"106,5",,0,0,0,0,,,0,"1493",,,,,0,0,1720,,"N",,,"106,501713079",
"DOUBLE SENS","340172","Publique",,16654,14619,"25,89999962",,0,0,0,0,,,0,"617",,,,,0,0,1716,,"N",,,"25,8817167545",
,"340172","Publique",,16656,14620,"35,29999924",,0,0,0,0,"FILAIRE_16656",,0,"3451",,,,,0,0,14619,,"N",,,"35,3263274096",
,"340172","Publique",,16657,14619,"13,60000038",,0,0,0,0,,,0,"3451",,,,,0,0,14618,,"N",,,"13,6118588007",
,"340172","Publique",,16658,14618,"16,29999924",,0,0,0,0,,,0,"3451",,,,,0,0,14617,,"N",,,"16,3178130977",
,"340172","Publique",,16659,14617,"21,89999962",,0,0,0,0,,,0,"3451",,,,,0,0,14620,,"N",,,"21,9344652886",
"DOUBLE SENS","340172","Publique",,16672,14637,"36,20000076",,0,0,0,0,,"Piéton",0,"2145",,,,,0,0,4211,,"N",,,"36,2317555901",
"DOUBLE SENS","340172","Publique",,16695,14659,"51,40000153",,0,0,0,0,,,0,"2300",,,,,0,0,4593,,"N","SERM","PORT MARIANNE - CONSULS DE MER","51,4300839408",
,"340172","Privée",,16696,14659,"432,1000061",,0,0,0,0,"FILAIRE_16696",,0,"3454",,,,,0,0,14661,,"N",,,"432,291542406",
"DOUBLE SENS","340172","Publique",,16697,14661,"19,5",,0,0,0,0,,,0,"1784",,,,,0,0,1173,,"N","SERM","PORT MARIANNE - CONSULS DE MER","19,4824982822",
"DOUBLE SENS","340172","Publique",,16732,14697,"52,70000076",,0,0,0,0,,,0,"2296",,,,,0,0,14677,,"N",,,"52,7400458287",
"DOUBLE SENS","340172","Publique",,16733,14698,104,,0,0,0,0,,,0,"2737",,,,,0,0,1130,,"N",,,"104,013262867",
"DOUBLE SENS","340172","Publique",,16734,14697,"111,80000305",,0,0,0,0,,,0,"2296",,,,,0,0,14698,,"N",,,"111,827092522",
"DOUBLE SENS","340172","Publique",,16735,14699,"51,40000153",,0,0,0,0,,,0,"2737",,,,,0,0,14698,,"N",,,"51,4387640612",
"DOUBLE SENS","340172","Privée",,16792,14757,"101,19999695",,0,0,0,0,,,0,"2864",,,,,0,0,3522,,"N",,,"101,21819981",
"DOUBLE SENS","340172","Publique",,14992,13017,"114,4",,0,0,0,0,,,0,"1420",,,,,0,0,15139,,"N","SERM","DES GRISETTES","114,375201702",
"DOUBLE SENS","340172","Publique",,6742,2187,"163,6000061",,0,0,0,0,"FILAIRE_6742",,0,"1208",,,,,0,0,5147,,"N",,,"163,686401427",
"DOUBLE SENS","340172","Publique",,6743,5147,"60,5",,0,0,0,0,"FILAIRE_6743",,0,"1208",,,,,0,0,2175,,"N",,,"60,4921480301",
