"ID_ARC,N,10,0","VOI_NOM,C,80","ACC_OIMP,C,10","ACV_ILAR,N,19,8","ACC_OPAI,C,10","ACV_PLAR,N,19,8","ACC_1I2P,C,21","Shape_LEN,N,19,11","SHAPE_FID,N,9,0"
5784,"Rue Frédéric Fabrèges","Non","2,9","Non","2,9","Non_Non","88,4254567846",5763
1247,"Rue de Centrayrargues","Non","1,75","Non","1,05","Non_Non","56,7478259236",3018
3897,"Avenue du Pont Juvénal","Oui","6,3","Oui","1,65","Oui_Oui","29,5397257706",4353
18935,"Place Emile Martin","Non",0,"Oui","10,4","Non_Oui","14,9807005991",7594
2215,"Avenue de Monsieur Teste","Non","1,7","Non","1,1","Non_Non","65,9590158086",3618
3935,"Carrefour Rimbaud","Oui","2,8","Non",4,"Oui_Non","18,1727989875",4695
2821,"Rue de la Fond Froide","Oui","1,8","Non","2,65","Oui_Non","205,897268922",6849
2374,"Rue de Gignac","Non","3,45","Non","0,6","Non_Non","118,283476366",3573
4044,"Rue Proudhon","Non","1,3","Non","1,3","Non_Non","69,0879558443",4589
228,"Voie non dénommée","Non",0,"Non",0,"Non_Non","55,9614549923",2364
93,"Rue Paul Brousse","Non","1,6","Non","1,15","Non_Non","77,3198723156",2223
15996,"Place du Père Louis","Non","4,9","Non",0,"Non_Non","17,4969361544",7212
15832,"Rue des Bouissettes","Non","1,4","Non","3,25","Non_Non","25,6171168052",7143
2592,"Rue de Bale","Oui","4,5","Oui","4,85","Oui_Oui","114,702812814",3907
4902,"Rue François Dezeuze","Oui","4,55","Non","0,85","Oui_Non","22,2163747783",5340
12060,"Place des Patriotes","Non","5,35","Non",5,"Non_Non","31,6853497179",7467
1262,"Rue des Bateliers","Non","0,6","Non",0,"Non_Non","89,4595645917",3030
6574,"Rue Robert Koch",,0,,0,"_","323,59968666",6171
2998,"Rue de l'Espinouse","Oui","2,1","Oui","1,85","Oui_Oui","164,249305582",6970
5741,"Rue des Marronniers","Non","0,9","Non","1,1","Non_Non","97,856427808",5683
58,"Rue Bernard Délicieux","Non","3,2","Non","1,75","Non_Non","69,8194602664",2200
846,"Rue Castilhon","Non","0,8","Non","1,6","Non_Non","50,7716144563",2432
6404,"Rue François-Joseph Gossec","Oui",10,"Non","1,5","Oui_Non","536,597824386",6055
994,"Rue Cavelier de la Salle","Oui",0,"Oui",6,"Oui_Oui","58,9630008246",6692
7587,"Rue des Jardins D'Alkinoos",,0,"Oui","1,95","_Oui","137,655297084",6695
2139,"Route de Lavérune","Non","1,6","Non","2,15","Non_Non","617,112968191",3585
298,"Rue du Truel","Non","1,35","Oui","3,75","Non_Oui","193,611891775",6576
4327,"Rue Hippolyte Rech","Non","2,3","Oui","2,9","Non_Oui","68,3529640049",4925
1876,"Rue de la Croix de Figuerolles","Non","3,5","Non","0,65","Non_Non","159,920478527",6451
127,"Rue des Ormeaux","Non","1,7","Oui","1,65","Non_Oui","49,7198077934",2154
6475,"Place du 11 Novembre 1918",,0,,0,"_","60,9261239445",6120
4346,"Rue du Pous de Las Sers","Non",0,"Non","0,9","Non_Non","39,8688008138",4992
1424,"Avenue de Maurin","Non",0,"Non",0,"Non_Non","116,032815382",2793
2276,"Rue des Aconits","Non",0,"Non","1,95","Non_Non","84,3128421358",3698
11132,"Rue des Pradiers","Oui","4,85","Oui","2,5","Oui_Oui","30,4780145393",7271
4186,"Avenue Charles Flahault","Oui","8,1","Non","3,9","Oui_Non","336,990347511",5048
3013,"Avenue du Val de Montferrand","Non",0,"Non","1,35","Non_Non","107,95413321",6978
5780,"Avenue du Pont Trinquat","Oui","3,4","Non","1,8","Oui_Non","50,1085459219",5759
5632,"Rue Fouques","Non","1,1","Non","1,1","Non_Non","160,11672417",5530
3569,"Avenue du Doyen Gaston Giraud","Non","0,7","Non","0,85","Non_Non","151,499984703",4329
4324,"Rue Paul Verlaine",,0,,0,"_","149,497844362",93
4358,"Rue Aristide Maillol",,0,,0,"_","112,146210348",94
4132,"Impasse Maria Montessori",,0,,0,"_","96,2083742018",95
4217,"Rue Charancy",,0,,0,"_","57,7342693686",96
4512,"Allée Sisley",,0,,0,"_","90,0445113825",97
4932,"Place Soult",,0,,0,"_","43,111146862",98
