"ID","AREA,N,19,11","PERIMETER,N,19,11","BATIMENTS_,N,9,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,4,0","Shape_Leng,N,19,11","Shape_Area,N,19,11"
474,"261,962040616","81,8561435748",475,"D.E.J.S","00055800","0","00558","00","BC",109,"81,8880481449","262,167664567"
475,"213,40635316","63,1687486005",476,"Ecole élémentaire Auguste Comte","00026702","0","00267","00","BC",109,"63,19380341","213,575467925"
476,"144,820687491","60,8148955069",477,"INSEE","70001500","7","70015","00","CI",0,"60,8390410799","144,935327258"
477,"158,430378142","50,4268991976",478,"Cité Universitaire des Arceaux","70019900","7","70199","00","BT",104,"50,4468376091","158,555743022"
478,"194,705887528","60,7310494131",479,"Maison de l'Energie","00064400","0","00644","00","BC",109,"60,7548610022","194,85903864"
479,"2827,66495607","217,946785547",480,"DRASS","99999999",,,,"BT",104,"218,03241644","2829,88796028"
480,"1763,52732201","204,563534236",481,"Trésorerie Générale de l'Hérault","70001800","7","00018","00","BT",104,"204,643815936","1764,91485077"
481,"2307,81201881","263,023073381",482,"INSEE","70001500","7","70015","00","BT",104,"263,126754511","2309,62908417"
482,"857,319306094","131,977498516",483,"Direction Régionale France Télécom","99999999",,,,"NP",170,"132,02938918","857,993515666"
483,"867,218740617","143,848357644",484,"Carré Sainte Anne","00090400","0","00904","00","BC",109,"143,904691501","867,899732251"
484,"543,539950011","113,869472411",485,"Cité Universitaire des Arceaux","70019900","7","70199","00","BT",104,"113,914070622","543,967510416"
485,"69,7573437286","32,8153769893",486,,"99999999",,,,"CI",0,"32,8282764358","69,8122376102"
486,"5380,81022764","498,103076272",487,"Cité Judiciaire","70005400","7","00054","00","BT",104,"498,299051748","5385,04288864"
487,"1297,17971236","157,559728232",488,"Halles Castellane","99999999",,,,"BC",109,"157,621444824","1298,20324723"
488,"737,669424952","120,181983034",489,"Pavillon Populaire","00064400","0","00644","00","BC",109,"120,229173732","738,250055018"
489,"371,554406331","124,50287372",490,,"99999999","0","00000","0","BC",109,"124,551873595","371,846791116"
490,"54,133450001","56,2289884611",491,"Dominicains-chapelle","88888888","0","00000","0","CE",0,"56,2507863839","54,1752751304"
491,"27,0272687301","23,5352661286",492,"Gendarmerie Nationale","70001100","7","00011","00","BT",104,"23,544616378","27,0489529562"
492,"741,476122011","173,573924631",493,"Gendarmerie Nationale","70001100","7","00011","00","BT",104,"173,642108818","742,056995416"
493,"14,6860218654","15,1751838955",494,"Gendarmerie Nationale","70001100","7","00011","00","BT",104,"15,1811429414","14,6975786637"
494,"2211,24105924","259,606105716",495,"Gendarmerie Nationale","70001100","7","00011","00","BT",104,"259,707476138","2212,98052872"
495,"78,5335687667","38,4675793532",496,"Château de Flaugergues","70008100","7","00081","00","NP",170,"38,4827121891","78,5950591789"
496,"28,8623874842","25,0367451789",497,"Gendarmerie Nationale","70001100","7","00011","00","BT",104,"25,0465516917","28,8850621704"
497,"219,141484262","75,6997019693",498,"Salle Rabelais","00008500","0","00085","00","BC",109,"75,7294878438","219,313666247"
498,"411,499728137","81,6551513651",499,"Lycée Professionnel Jean Mermoz","70009900","7","70099","00","BT",104,"81,6872124432","411,823064659"
499,"1335,93455947","147,598798619",500,"Lycée Professionnel Jean Mermoz","70009900","7","70099","00","BT",104,"147,656711795","1336,98343927"
500,"626,611168739","166,011382092",501,"Dominicains-chapelle","99999999",,,,"BT",104,"166,076112463","627,103009574"
501,"54,3711093812","30,3295577272",502,"Hôtel de Varennes","00050000","0","00500","00","CI",0,"30,341412177","54,4137355751"
502,"333,575437509","94,5317046614",503,"Gendarmerie Nationale","70001100","7","00011","00","BT",104,"94,5687860811","333,836625668"
503,"996,78889358","188,658305207",504,"Ecole élémentaire Paul Langevin","00029003","0","00290","03","BC",109,"188,73239872","997,572642793"
504,"956,724643576","190,353476909",505,"Ecole maternelle Goethe","00029102","0","00291","02","BC",109,"190,428368412","957,478216333"
505,"175,815562481","67,9642085136",506,"Château de Flaugergues","70008100","7","00081","00","NP",170,"67,9909493958","175,954392517"
506,"46,5460781084","27,3415127942",507,"Hôtel de Varennes","00050000","0","00500","00","CI",0,"27,3521210368","46,5825414676"
507,"142,962581256","47,8685115096",508,"Kiosque Bosc","00023300","0","00233","00","BC",109,"47,8873416614","143,075056858"
508,"756,160340492","116,526683808",509,"Château de Flaugergues","70008100","7","00081","00","CI",0,"116,572086908","756,752641367"
509,"1447,67075629","345,033929706",510,"Ecole élémentaire Painlevé","00039701","0","00397","01","BC",109,"345,169598385","1448,80813"
510,"1482,59151876","136,813324295",511,"C.R.D.P","70002600","0","00000","0","CI",0,"136,867081769","1483,75707358"
511,"154,588496845","52,1766360164",512,"Collège Joffre","70011500","7","00115","00","BT",104,"52,1971759126","154,71036841"
512,"343,297931362","76,04583991",513,"Poste - Arceaux","70025900","7","00259","00","NP",170,"76,0756589015","343,568207071"
513,"180,604772069","131,028733779",514,"Lycée Joffre","70009700","7","00097","00","BT",104,"131,080061816","180,747071978"
514,"1498,40929682","290,743875543",515,"Cité Universitaire des Arceaux","70019900","7","70199","00","BT",104,"290,85750409","1499,58893974"
515,"1152,29327219","266,366098186",516,"Hôtel de Varennes","00050000","0","00500","00","BT",104,"266,47047714","1153,19778206"
516,"1970,6929605","303,611123966",517,"Cité Universitaire des Arceaux","70019900","7","70199","00","BT",104,"303,730276799","1972,24308849"
517,"1449,48298453","324,735600784",518,"Château de Flaugergues","70008100","7","00081","00","NP",170,"324,862594043","1450,61938406"
518,"97,7817156049","40,1779797004",519,"Poste - Préfecture","70022900","7","00229","00","CI",0,"40,1937625507","97,8586242916"
519,"661,454753117","152,78903039",520,"Ecole maternelle Louise Michel","0039702","0","00397","02","BC",109,"152,84902862","661,973460677"
520,"312,049274898","98,722852606",521,"Château de Flaugergues","70008100","7","00081","00","NP",170,"98,7616050808","312,292378367"
521,"3252,32253146","427,987019932",522,"C.R.D.P","70002600","7","00026","0","BT",104,"428,155132671","3254,87640062"
522,"639,49021339","146,80318781",523,"Poste - Préfecture","70022900","7","00229","00","NP",170,"146,86090735","639,992855299"
523,"907,713156198","218,029352171",524,"Chapelle de la Miséricorde","00008200","0","00082","00","BC",109,"218,115533535","908,425875342"
524,"167,340176019","67,9283638148",525,"Arc de triomphe","00067400","0","00674","00","BC",109,"67,9552532507","167,470939435"
525,"76,195053082","35,3418108064",526,"Sabatier d'Esperan","00058300","0","00583","00","CI",0,"35,3555597478","76,2547750326"
526,"140,3859437","58,3366464844",527,"Cité Universitaire des Arceaux","70019900","7","70199","00","BT",104,"58,3594630521","140,496517973"
527,"221,843793769","69,8826414534",528,"Ecole maternelle Chaptal","00028903","0","00289","03","BC",109,"69,9101059839","222,018744876"
528,"572,876343666","153,333533762",529,"Sabatier d'Esperan","00058300","0","00583","00","BT",104,"153,393690049","573,32672855"
529,"394,959799954","106,867867989",530,"Ecole élémentaire Jeanne d'Arc","00028803","0","00288","03","BC",109,"106,909746304","395,269786618"
