"AREA_,N,19,8","PERIMETER,N,19,8","BATIMENTS_,N,10,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,5,0","ID,N,10,0","AREA,N,19,11","LEN,N,19,11"
"2080,44122186","161,90559411",44,Maera Usine d'assainissement,,,,,NP,170,0,"2082,15485","161,972255"
"2061,00293755","213,08627653",46,Maera Usine d'assainissement,,,,,NP,170,0,"2062,69501","213,174415"
"2168,01293436","165,26516164",48,Maera Usine d'assainissement,,,,,NP,170,0,"2169,79442","165,333049"
"3891,48709052","331,76119745",49,M.I.N Marché Gare,99999999,,,,NP,170,0,"3894,69094","331,897325"
"529,87565629","158,34433808",51,Ecole maternelle Les Grisettes,00038302,0,00383,02,BC,109,0,"530,31406","158,409503"
"5012,59417797","324,76295977",52,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"5016,72321","324,895497"
"826,27893125","133,42323655",54,Hôtel des Ventes,99999999,,,,BT,104,0,"826,9612","133,477697"
"6517,65682777","357,03179865",55,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"6523,0246","357,179701"
"61,00832811","34,0974999",56,Hôtel des Ventes,99999999,,,,BT,104,0,"61,05849","34,111588"
"1414,48982797","215,15014424",58,Hôtel des Ventes,00038302,0,00383,02,BT,104,0,"1415,65362","215,239468"
"4576,22604061","327,52760196",60,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"4579,98856","327,661964"
"3686,06005018","260,93389001",62,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"3689,08386","261,041017"
"6443,71215977","510,82195742",64,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"6449,00969","511,030748"
"1574,72598138","195,63230095",65,M.I.N Marché Gare,99999999,,,,NP,170,0,"1576,01693","195,712468"
"544,41406226","179,44978934",66,M.I.N Marché Gare,99999999,,,,NP,170,0,"544,86069","179,523424"
"10811,90359665","706,65800067",68,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"10820,77947","706,949793"
"834,50591867","126,32538157",71,Hypermarché,99999999,,,,NP,170,0,"835,18997","126,376723"
"874,73009375","203,63998291",72,Ecole maternelle Aliénor d'Aquitaine,00043003,0,00430,03,BC,109,0,"875,44797","203,72315"
"977,10360613","123,41528241",74,Poste de Police Municipale,,,,,BC,109,0,"977,90466","123,465571"
"66,88148121","34,07770224",75,Domaine de la Providence,,,,,CI,0,0,"66,93673","34,091655"
"1367,68023169","293,53503553",76,M.I.N Marché Gare,99999999,,,,NP,170,0,"1368,80426","293,655414"
"507,4814127","136,49933629",77,Domaine de la Providence,,,,,BT,104,0,"507,89475","136,554863"
"249,79103123","71,19299088",78,Domaine de la Providence,,,,,BT,104,0,"249,99586","71,221826"
"4502,27128071","403,31746471",80,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"4505,96407","403,482744"
"203,189453","81,15823189",83,Maison de Quartier Pauline Lafont,,,,,BC,109,0,"203,35528","81,191959"
"5465,84426236","394,43782166",84,M.I.N Marché Gare,99999999,,,,NP,170,0,"5470,31509","394,598447"
"1347,7414409","152,78621613",85,Crèche Joséphine Baker,,,,,BC,109,0,"1185,34402","146,178193"
"1031,58403431","136,14518227",86,Gymnase Alain Colas,00046701,0,00467,01,BT,104,0,"1032,4269","136,20069"
"409,1247157","81,00032489",87,Collège Croix d'Argent,70011000,7,00110,00,CI,0,0,"409,45907","81,033445"
"4189,19571841","329,15432429",88,M.I.N Marché Gare,99999999,,,,NP,170,0,"4192,61651","329,287451"
"4497,75204688","500,64929882",91,Collège Croix d'Argent,70011000,7,00110,00,BT,104,0,"4501,42698","500,853404"
"4867,30984064","287,84988821",93,Ecole élémentaire Esope,70017800,7,00178,00,BC,109,0,"4871,28816","287,967264"
"7791,2404424","875,26159587",94,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"7797,60375","875,618988"
"2306,96471895","248,30925351",95,Centre Inter urbain des Telecom,99999999,0,00000,0,NP,170,0,"2308,84641","248,410642"
"4019,00258358","273,73445763",96,E.H.P.A.D Françoise Gauffier,70017800,7,00178,00,BC,109,0,"4022,28839","273,846485"
"15,40720001","16,73465018",97,Chai Molière,00010100,0,00101,00,BC,109,0,"15,41962","16,741479"
"55,11292501","31,52977602",98,Chai Molière,00010100,0,00101,00,BC,109,0,"55,15852","31,542908"
"592,24094663","128,96985061",100,Terrain de foot Claude Béal,00018303,0,00183,03,BC,109,0,"592,7216","129,021795"
"1646,60564384","283,67307228",101,,99999999,0,00000,0,NP,170,0,"1647,94771","283,789242"
"347,98933439","79,67094648",3,Ecolothèque,,,,,BT,104,0,"348,28156","79,704335"
"7826,5289123","480,17467049",4,Centre Municipal Garosud,00231600,0,02316,00,BC,109,0,"7833,11696","480,376157"
"9734,76680399","389,74896766",10,Piscine Amphitrite,,,,,BT,104,0,"9742,95699","389,911813"
"564,50280327","120,17730945",15,Unité de Méthanisation,,,,,NP,170,0,"564,9756","120,227052"
"13920,56025605","552,75039967",20,Unité de Méthanisation,,,,,NP,170,0,"13932,177","552,98196"
"150,81216865","55,65137732",218,Groupe Médico Social Robert Lafont,99999999,,,,NP,170,0,"150,93246","55,673561"
"1209,09257506","150,33145516",220,EAI,99999999,,,,BT,104,0,"1210,062","150,391349"
"164,66749053","54,36487662",221,Centre Observation et Psychotérapie,99999999,,,,NP,170,0,"164,80044","54,386698"
"943,59202173","223,62733349",222,Groupe Médico Social Robert Lafont,99999999,,,,NP,170,0,"944,34706","223,71661"
"291,87196567","82,55330137",223,Centre Observation et Psychotérapie,99999999,0,00000,0,NP,170,0,"292,10562","82,586521"
"326,97459673","90,01268745",225,EAI,99999999,0,00000,0,BT,104,0,"327,23676","90,049027"
"667,2023","156,63249958",226,Mairie annexe La Chamberte,00085300,0,00853,00,BC,109,0,"667,73472","156,695434"
"650,27454975","114,9845518",228,EAI,99999999,,,,BT,104,0,"650,79341","115,030197"
"447,28775627","99,88693745",229,Château de la Mogère,70008200,7,00082,00,NP,170,0,"447,64407","99,926732"
"249,6403687","73,65555954",231,Club de loisirs Laure Moulin,70018500,7,00185,00,BC,109,0,"249,84055","73,684875"
"91,65367501","41,2944873",232,EAI,99999999,,,,BT,104,0,"91,72723","41,311054"
"791,7927468","223,74328938",233,Lycée Georges Clémenceau,70009400,7,00094,00,BT,104,0,"792,42631","223,831947"
"255,01093125","74,80585359",235,Centre Observation et Psychotérapie,99999999,0,00000,0,NP,170,0,"255,21527","74,83592"
"93,90937503","43,86260426",236,Centre Observation et Psychotérapie,99999999,,,,NP,170,0,"93,98489","43,880178"
"260,5351562","70,95877071",238,Chateau de Bionne,99999999,0,00000,0,NP,170,0,"260,74388","70,987285"
"641,69205944","114,84915364",239,EAI,99999999,,,,BT,104,0,"642,20462","114,894708"
"134,92902299","70,40771038",240,Eglise N.D. de la Paix,88888888,0,00000,0,CE,0,0,"135,03663","70,435999"
"858,53106877","145,07300952",242,EAI,99999999,0,00000,0,BT,104,0,"859,216","145,131293"
"1347,79066553","182,41552543",244,EAI,99999999,0,00000,0,BT,104,0,"1348,8651","182,487703"
"3932,32530745","329,45020914",245,Lycée Georges Clémenceau,70009400,7,00094,00,BT,104,0,"3935,4623","329,58125"
"506,29940859","115,89611881",247,Chateau de Bionne,99999999,0,00000,0,NP,170,0,"506,7042","115,942613"
"619,96153123","114,02195301",248,EAI,99999999,0,00000,0,BT,104,0,"620,45594","114,06711"
"103,47552502","48,26357835",249,Château de la Mogère,70008200,7,00082,00,NP,170,0,"103,55804","48,282706"
"98,44239062","40,7881535",250,EAI,99999999,,,,BT,104,0,"98,52166","40,804582"
"666,05019384","117,04823363",252,Clinique du Millénaire,,,,,CI,0,0,"666,58004","117,094587"
"1433,25246248","378,77970719",253,Château de la Mogère,70008200,7,00082,00,NP,170,0,"1434,39569","378,930871"
"4015,13211865","266,38051266",255,EAI,99999999,0,00000,0,BT,104,0,"4018,33274","266,486708"
"58,06433436","34,33768305",257,EAI,99999999,,,,BT,104,0,"58,11077","34,351576"
"1024,33541857","157,25087652",258,EAI,99999999,0,00000,0,BT,104,0,"1025,1519","157,312998"
"521,80262814","111,63759643",260,Crèche Robin des Bois,,,,,BC,109,0,"522,21754","111,681812"
