"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"ALPILLES            ","Rue des Alpilles                                                ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"ALQUIE              ","Rue Alexis Alquié                                               ",1,99999,"I","Ecole Elémentaire Paul BERT / V.HUGO                        "
"ALQUIE              ","Rue Alexis Alquié                                               ",2,99998,"P","Ecole Elémentaire Paul BERT / V.HUGO                        "
"ALSACE              ","Rue d'Alsace                                                    ",1,99999,"I","Ecole Elémentaire Jules SIMON                               "
"ALSACE              ","Rue d'Alsace                                                    ",2,99998,"P","Ecole Elémentaire Jules SIMON                               "
"ALTAMIRA            ","Place Altamira                                                  ",1,99999,"I","Ecole Elémentaire Alain SAVARY                              "
"ALTAMIRA            ","Place Altamira                                                  ",2,99998,"P","Ecole Elémentaire Alain SAVARY                              "
"ALTIER              ","Rue Azalaïs d'Altier                                            ",1,99999,"I","Ecole Elémentaire GALILEE                                   "
"ALTIER              ","Rue Azalaïs d'Altier                                            ",2,99998,"P","Ecole Elémentaire GALILEE                                   "
"AMALBERT            ","Rue du Serf Amalbert                                            ",1,99999,"I","Ecole Elémentaire Jules FERRY                               "
"AMALBERT            ","Rue du Serf Amalbert                                            ",2,99998,"P","Ecole Elémentaire Jules FERRY                               "
"AMANDIER            ","Rue de l'Amandier                                               ",1,99999,"I","Ecole Elémentaire LAMARTINE                                 "
"AMANDIER            ","Rue de l'Amandier                                               ",2,99998,"P","Ecole Elémentaire LAMARTINE                                 "
"AMANDIERS           ","Jardin des Amandiers                                            ",1,99999,"I","Ecole Elémentaire SPINOZA                                   "
"AMANDIERS           ","Jardin des Amandiers                                            ",2,99998,"P","Ecole Elémentaire SPINOZA                                   "
"AMANDINES           ","Impasse des Amandines                                           ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"AMANDINES           ","Impasse des Amandines                                           ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"AMANS               ","Rue Charles Amans                                               ",1,99999,"I","Ecole Elémentaire Paul BERT / V.HUGO                        "
"AMANS               ","Rue Charles Amans                                               ",2,99998,"P","Ecole Elémentaire Paul BERT / V.HUGO                        "
"AMARANTES           ","Rue des Amarantes                                               ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"AMARANTES           ","Rue des Amarantes                                               ",2,99998,"P","Ecole Elémentaire Jacques BREL                              "
"AMARYLLIS           ","Rue des Amaryllis                                               ",1,99999,"I","Ecole Elémentaire Paul LANGEVIN                             "
"AMARYLLIS           ","Rue des Amaryllis                                               ",2,99998,"P","Ecole Elémentaire Paul LANGEVIN                             "
"AMARYLLIS           ","Allée des Amaryllis                                             ",1,99999,"I","Ecole Elémentaire Paul LANGEVIN                             "
"AMARYLLIS           ","Allée des Amaryllis                                             ",2,99998,"P","Ecole Elémentaire Paul LANGEVIN                             "
"AMARYLLIS           ","Chemin des Amaryllis                                            ",2,99998,"P","Ecole Elémentaire Paul LANGEVIN                             "
"AMARYLLIS           ","Chemin des Amaryllis                                            ",1,99999,"I","Ecole Elémentaire Paul LANGEVIN                             "
"AMBRE               ","Rue de l'Ambre                                                  ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"AMBRE               ","Rue de l'Ambre                                                  ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"AMETHYSTE           ","Rue de l'Améthyste                                              ",1,99999,"I","Ecole Elémentaire Charles DICKENS                           "
"AMETHYSTE           ","Rue de l'Améthyste                                              ",2,99998,"P","Ecole Elémentaire Charles DICKENS                           "
"AMOREUX             ","Rue Amoreux                                                     ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"AMOREUX             ","Rue Amoreux                                                     ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"AMOURIERS           ","Rue des Amouriers                                               ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"AMOURIERS           ","Rue des Amouriers                                               ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"AMPERE              ","Rue André-Marie Ampère                                          ",1,99999,"I","Ecole Elémentaire SPINOZA                                   "
"AMPERE              ","Rue André-Marie Ampère                                          ",2,99998,"P","Ecole Elémentaire SPINOZA                                   "
"AMPURIAS            ","Rue d'Ampurias                                                  ",1,99999,"I","Ecole Elémentaire Georges SIMENON                           "
"AMPURIAS            ","Rue d'Ampurias                                                  ",2,99998,"P","Ecole Elémentaire Georges SIMENON                           "
"ANDERSEN            ","Passage Hans Christian Andersen                                 ",1,99999,"I","Ecole Elémentaire Charles DICKENS                           "
"ANDERSEN            ","Passage Hans Christian Andersen                                 ",2,99998,"P","Ecole Elémentaire Charles DICKENS                           "
"ANDERSON            ","Allée James Anderson                                            ",1,99999,"I","Ecole Elémentaire Jules FERRY                               "
"ANDERSON            ","Allée James Anderson                                            ",2,99998,"P","Ecole Elémentaire Jules FERRY                               "
"ANDRE               ","Parc Edouard André                                              ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"ANDRE               ","Parc Edouard André                                              ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"ANEMONES            ","Rue des Anémones                                                ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"ANEMONES            ","Rue des Anémones                                                ",2,99998,"P","Ecole Elémentaire Jacques BREL                              "
"ANGELVIN            ","Impasse Angelvin                                                ",1,99999,"I","Ecole Elémentaire GAMBETTA                                  "
